"","unique(sdsur$spp)"
"1","ELYCAN"
"2","TRAOHI"
"3","OENBIE"
"4","ABUTHE"
"5","PINSPP"
"6","HELHEL"
"7","CONCAN"
"8","SYMLAE"
"9","RUDHIR"
"10","GRASS"
"11","CHEALB"
"12","ACHMIL"
"13","MONFIS"
"14","POASPP"
"15","LACCAN"
"16","UNK001"
"17","LACGRA"
"18","UNK002"
"19","SONASP"
"20","PRUSER"
"21","PERMAC"
"22","SOLNEM"
"23","UNK003"
"24","LESCAP"
"25","DAUPUS"
"26","CIRDIS"
"27","SCHSCO"
"28","RATPIN"
"29","VERVIR"
"30","OXASTR"
"31","SONOLE"
"32","Hairy sheath grass"
"33","ECHPAL"
"34","ELYVIR"
"35","AMBTRI"
"36","SOLSPP"
"37","UNK005"
"38","UNK006"
"39","UNK004"
"40","VERHAS"
"41","SILLAC"
"42","ASTOBL"
"43","GALAPE"
"44","ANDGER"
"45","SPURGE"
"46","UNK007"
"47","UNKGRASS"
"48","SOLCAR"
"49","HEURIC"
"50","ACENEG"
"51","ASTLAE"
"52","SYMNOV"
"53","AMARET"
"54","ASCSUR"
"55","TRIPRA"
"56","ELYSPP"
"57","ARCMIN"
"58","CONARV"
"59","POLACH"
"60","EUPALT"
"61","Zipper grass"
"62","ERYYUC"
"63","SOLRIG"
"64","GEUTRI"
"65","VERSTR"
"66","SILINT"
"67","EREHIE"
"68","CONVOLOULUS"
"69","ASTNOV"
"70","UNKSPP"
"71","CARYA SPP"
"72","UNK008"
"73","ACERUB"
"74","BOUCUR"
"75","UNK009"
"76","DALPUR"
"77","POROLE"
"78","CORPAL"
"79","CAPBUR"
"80","UNK010"
"81","HESSPA"
"82","HELGRO"
"83","VERSTR "
"84","UNK011"
"85","ASTCAN"
"86","LIAASP"
"87","UNK012"
"88","VERFAS"
"89","ASCTUB"
"90","CEOAME"
"91","APOAND"
"92","PLAMAJ"
"93","SILLAT"
"94","MEDSAT"
"95","GLYMAX"
"96","PARINT"
"97","Field_Cover_Grass"
"98","UNK013"
"99","SYSOFF"
"100","CIRARV"
"101","RUBSPP"
"102","SYMOOL"
"103","NONE"
"104","MELOFF"
"105","UNK014"
"106","SYMSER"
"107","ZIZAUR"
"108","CARSPP"
"109","UNK015"
"110","BAPALB"
"111",""
"112","UNK016"
"113","UNK017"
"114","KUHEUP"
"115","PYCVIR"
"116","VITRIP"
"117","SOLCAN"
